recordno,street,city,zip,state,email,birth_date,telno,ssn
1,3526 HIGH ST,SACRAMENTO,95838,CA,henry@gmail.com,05/21/1981,59-222,123-456-789
2,51 OMAHA CT,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,68212,123-456-789
3,2796 BRANCH ST,SACRAMENTO,95815,CA,henry@gmail.com,05/21/1981,68880,123-456-789
4,2805 JANETTE WAY,SACRAMENTO,95815,CA,henry@gmail.com,05/21/1981,69307,123-456-789
5,6001 MCMAHON DR,SACRAMENTO,95824,CA,henry@gmail.com,05/21/1981,81900,
6,,,,,,,,
7,6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,henry@gmail.com,05/21/1981,90895,GHX56789
8,2561 19TH AVE,SACRAMENTO,95820,CA,henry@gmail.com,05/21/1981,91002,GHX56789
9,11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,corbett@hotmail.com,05/21/1981,94905,GHX56789
10,7325 10TH ST,RIO LINDA,95673,CA,henry@gmail.com,05/21/1981,98937,GHX56789
11,645 MORRISON AVE,SACRAMENTO,95838,CA,henry@gmail.com,05/21/1981,100309,GHX56789
12,4085 FAWN CIR,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,106250,GHX56789
13,2930 LA ROSA RD,SACRAMENTO,95815,CA,henry@gmail.com,05/21/1981,106-852,GHX56789
14,2113 KIRK WAY,SACRAMENTO,95822,CA,henry@gmail.com,05/21/1981,107502,
15,4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,henry@gmail.com,05/21/1981,108750,
16,7340 HAMDEN PL,SACRAMENTO,95842,CA,corbett@hotmail.com,05/21/1981,110700,
17,6715 6TH ST,RIO LINDA,95673,CA,henry@gmail.com,05/21/1981,113-263,
18,6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,corbett@hotmail.com,05/21/1981,11-62-50,
19,250 PERALTA AVE,SACRAMENTO,95833,CA,henry@gmail.com,05/21/1981,120000,
20,113 LEEWILL AVE,RIO LINDA,95673,CA,henry@gmail.com,05/21/1981,121630,
21,6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,henry@gmail.com,05/21/1981,122000,
22,4882 BANDALIN WAY,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,122682,
23,7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,henry@gmail.com,05/21/1981,123000,
24,9 PASTURE CT,SACRAMENTO,95834,CA,henry@gmail.com,05/21/1981,124100,
25,3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,henry@gmail.com,05/21/1981,125000,
26,3828 BLACKFOOT WAY,ANTELOPE,95843,CA,henry@gmail.com,05/21/1981,126640,
27,4108 NORTON WAY,SACRAMENTO,95820,CA,henry@gmail.com,05/21/1981,127281,
28,1469 JANRICK AVE,SACRAMENTO,95832,CA,henry@gmail.com,05/21/1981,129000,
29,9861 CULP WAY,SACRAMENTO,95827,CA,henry@gmail.com,05/21/1981,131200,
30,7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,henry@gmail.com,05/21/1981,132000,
31,5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,corbett@hotmail.com,05/21/1981,133000,
32,6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,henry@gmail.com,05/21/1981,134555,
33,3100 EXPLORER DR,SACRAMENTO,95827,CA,henry@gmail.com,05/21/1981,136500,
34,7944 DOMINION WAY,ELVERTA,95626,CA,henry@gmail.com,05/21/1981,138750,
35,5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,corbett@hotmail.com,05/21/1981,141000,
36,3920 SHINING STAR DR,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,146250,
37,5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,henry@gmail.com,05/21/1981,147308,
38,7661 NIXOS WAY,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,148750,
39,7044 CARTHY WAY,SACRAMENTO,95828,CA,henry@gmail.com,05/21/1981,149593,
40,2442 LARKSPUR LN,SACRAMENTO,95825,CA,corbett@hotmail.com,05/21/1981,150000,
41,4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,corbett@hotmail.com,05/21/1981,152000,
42,2178 63RD AVE,SACRAMENTO,95822,CA,henry@gmail.com,05/21/1981,154000,
43,8718 ELK WAY,ELK GROVE,95624,CA,henry@gmail.com,05/21/1981,156896,
44,5708 RIDGEPOINT DR,ANTELOPE,95843,CA,henry@gmail.com,05/21/1981,161250,
45,7315 KOALA CT,NORTH HIGHLANDS,95660,CA,henry@gmail.com,05/21/1981,161500,
46,2622 ERIN DR,SACRAMENTO,95833,CA,henry@gmail.com,05/21/1981,164000,
47,8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,165000,
48,7420 ALIX PKWY,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,166357,
49,3820 NATOMA WAY,SACRAMENTO,95838,CA,henry@gmail.com,05/21/1981,166357,
50,4431 GREEN TREE DR,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,168000,
51,9417 SARA ST,ELK GROVE,95624,CA,henry@gmail.com,05/21/1981,170000,
