recordno,street,city,zip,state,email,birth_date,telno,ssn
1,MASKED,MASKED,95838,CA,henry@gmail.com,05/21/1981,59-222,123-456-789
2,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,68212,123-456-789
3,MASKED,MASKED,95815,CA,henry@gmail.com,05/21/1981,68880,123-456-789
4,MASKED,MASKED,95815,CA,henry@gmail.com,05/21/1981,69307,123-456-789
5,MASKED,MASKED,95824,CA,henry@gmail.com,05/21/1981,81900,
6,MASKED,MASKED,,,,,,
7,MASKED,MASKED,95842,CA,henry@gmail.com,05/21/1981,90895,GHX56789
8,MASKED,MASKED,95820,CA,henry@gmail.com,05/21/1981,91002,GHX56789
9,MASKED,MASKED,95670,CA,corbett@hotmail.com,05/21/1981,94905,GHX56789
10,MASKED,MASKED,95673,CA,henry@gmail.com,05/21/1981,98937,GHX56789
11,MASKED,MASKED,95838,CA,henry@gmail.com,05/21/1981,100309,GHX56789
12,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,106250,GHX56789
13,MASKED,MASKED,95815,CA,henry@gmail.com,05/21/1981,106-852,GHX56789
14,MASKED,MASKED,95822,CA,henry@gmail.com,05/21/1981,107502,
15,MASKED,MASKED,95842,CA,henry@gmail.com,05/21/1981,108750,
16,MASKED,MASKED,95842,CA,corbett@hotmail.com,05/21/1981,110700,
17,MASKED,MASKED,95673,CA,henry@gmail.com,05/21/1981,113-263,
18,MASKED,MASKED,95621,CA,corbett@hotmail.com,05/21/1981,11-62-50,
19,MASKED,MASKED,95833,CA,henry@gmail.com,05/21/1981,120000,
20,MASKED,MASKED,95673,CA,henry@gmail.com,05/21/1981,121630,
21,MASKED,MASKED,95621,CA,henry@gmail.com,05/21/1981,122000,
22,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,122682,
23,MASKED,MASKED,95660,CA,henry@gmail.com,05/21/1981,123000,
24,MASKED,MASKED,95834,CA,henry@gmail.com,05/21/1981,124100,
25,MASKED,MASKED,95660,CA,henry@gmail.com,05/21/1981,125000,
26,MASKED,MASKED,95843,CA,henry@gmail.com,05/21/1981,126640,
27,MASKED,MASKED,95820,CA,henry@gmail.com,05/21/1981,127281,
28,MASKED,MASKED,95832,CA,henry@gmail.com,05/21/1981,129000,
29,MASKED,MASKED,95827,CA,henry@gmail.com,05/21/1981,131200,
30,MASKED,MASKED,95828,CA,henry@gmail.com,05/21/1981,132000,
31,MASKED,MASKED,95758,CA,corbett@hotmail.com,05/21/1981,133000,
32,MASKED,MASKED,95660,CA,henry@gmail.com,05/21/1981,134555,
33,MASKED,MASKED,95827,CA,henry@gmail.com,05/21/1981,136500,
34,MASKED,MASKED,95626,CA,henry@gmail.com,05/21/1981,138750,
35,MASKED,MASKED,95758,CA,corbett@hotmail.com,05/21/1981,141000,
36,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,146250,
37,MASKED,MASKED,95660,CA,henry@gmail.com,05/21/1981,147308,
38,MASKED,MASKED,95823,CA,henry@gmail.com,05/21/1981,148750,
39,MASKED,MASKED,95828,CA,henry@gmail.com,05/21/1981,149593,
40,MASKED,MASKED,95825,CA,corbett@hotmail.com,05/21/1981,150000,
41,MASKED,MASKED,95835,CA,corbett@hotmail.com,05/21/1981,152000,
42,MASKED,MASKED,95822,CA,henry@gmail.com,05/21/1981,154000,
43,MASKED,MASKED,95624,CA,henry@gmail.com,05/21/1981,156896,
44,MASKED,MASKED,95843,CA,henry@gmail.com,05/21/1981,161250,
45,MASKED,MASKED,95660,CA,henry@gmail.com,05/21/1981,161500,
46,MASKED,MASKED,95833,CA,henry@gmail.com,05/21/1981,164000,
