H,2018-10-23
1,3526 HIGH ST,SACRAMENTO,95838,CA,henry@gmail.com,05/21/1981,59-222,123-456-789
2,51 OMAHA CT,SACRAMENTO,95823,CA,henry@gmail.com,05/21/1981,68212,123-456-789
3,2796 BRANCH ST,SACRAMENTO,95815,CA,henry@gmail.com,05/21/1981,68880,123-456-789
4,2805 JANETTE WAY,SACRAMENTO,95815,CA,henry@gmail.com,05/21/1981,69307,123-456-789
5,6001 MCMAHON DR,SACRAMENTO,95824,CA,henry@gmail.com,05/21/1981,81900,
6,,,,,,,,
7,6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,henry@gmail.com,05/21/1981,90895,GHX56789
8,2561 19TH AVE,SACRAMENTO,95820,CA,henry@gmail.com,05/21/1981,91002,GHX56789
9,11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,corbett@hotmail.com,05/21/1981,94905,GHX56789
10,7325 10TH ST,RIO LINDA,95673,CA,henry@gmail.com,05/21/1981,98937,GHX56789
T,10
