H,2018-10-23
1,T2HSH3 GI5 6,DJKYGRIQVP,95838,CA,io@amlhcnmg.eyr,05/21/1981,59-222,123-456-789
2, AAC5 TH1MO,DJKYGRIQVP,95823,CA,io@amlhcnmg.eyr,05/21/1981,68212,123-456-789
3,CSBNTH2 9AR7 6,DJKYGRIQVP,95815,CA,io@amlhcnmg.eyr,05/21/1981,68880,123-456-789
4,TJ TA52EW0YAE8 N,DJKYGRIQVP,95815,CA,io@amlhcnmg.eyr,05/21/1981,69307,123-456-789
5,HDMARO6 0MCN0 1,DJKYGRIQVP,95824,CA,io@amlhcnmg.eyr,05/21/1981,81900,
6,,,,,,,,
7,WOHSN A EG6 04YA8ND,DJKYGRIQVP,95842,CA,io@amlhcnmg.eyr,05/21/1981,90895,GHX56789
8,VAHE1 26T95 1,DJKYGRIQVP,95820,CA,io@amlhcnmg.eyr,05/21/1981,91002,GHX56789
9,I RVi TIR1R  DnT411Et1 10IYU5NR,GNZNRX JUWHRXB,95670,CA,ctlimtoehtc.ormabo@,05/21/1981,94905,GHX56789
10,T2HS17 T03 5,BQV QMQFB,95673,CA,io@amlhcnmg.eyr,05/21/1981,98937,GHX56789
T,10
